user_id,recency,frequency,monetary,cluster
2,2,1,1,3
4,4,1,1,3
25,5,1,1,0
28,2,1,1,3
41,6,1,2,0
43,3,1,1,3
50,2,1,2,3
51,2,1,1,3
59,8,1,2,0
65,2,1,1,3
68,1,1,1,3
71,3,1,1,3
80,5,1,1,0
81,5,1,1,0
83,7,1,1,0
96,3,1,1,3
100,7,1,1,0
101,1,1,1,3
106,7,1,1,0
120,6,1,1,0
126,5,1,1,0
128,5,1,1,0
129,7,1,1,0
131,6,3,4,1
137,3,1,1,3
146,1,1,1,3
147,1,1,1,3
149,3,1,1,3
190,2,1,1,3
191,9,1,1,0
197,9,1,1,0
206,4,1,1,3
212,6,1,1,0
221,3,1,1,3
240,1,1,1,3
249,5,1,1,0
251,3,1,1,3
252,4,1,1,3
264,2,1,1,3
273,5,1,1,0
275,1,1,1,3
304,6,1,1,0
309,1,1,1,3
311,4,2,2,2
313,2,1,1,3
321,1,2,2,2
322,7,1,1,0
339,8,1,1,0
343,7,2,2,2
353,2,1,1,3
360,5,1,1,0
362,3,1,1,3
366,3,1,1,3
367,9,1,1,0
368,3,1,1,3
376,5,1,1,0
389,8,1,1,0
391,6,1,1,0
395,2,1,1,3
400,9,1,1,0
407,3,1,1,3
410,6,1,1,0
423,2,1,1,3
425,6,1,1,0
435,6,1,1,0
438,9,1,1,0
442,7,1,2,0
457,1,1,1,3
462,6,1,1,0
466,7,1,1,0
470,4,2,2,2
473,9,1,1,0
485,5,1,1,0
493,7,1,1,0
496,6,2,2,2
497,4,1,1,3
507,7,1,1,0
515,4,2,2,2
517,1,1,1,3
520,5,1,1,0
524,3,2,2,2
532,3,1,2,3
533,10,1,1,0
538,6,1,1,0
543,6,1,1,0
551,4,1,1,3
556,4,1,1,3
557,3,1,1,3
558,2,1,1,3
561,3,1,1,3
571,4,1,1,3
585,6,1,1,0
597,7,1,1,0
599,1,2,2,2
601,6,2,2,2
603,9,1,1,0
609,4,1,1,3
610,1,1,1,3
622,2,1,1,3
636,7,1,1,0
638,7,2,2,2
640,8,2,2,2
643,10,1,1,0
645,4,1,1,3
646,6,1,1,0
649,4,1,1,3
651,6,1,1,0
667,7,1,1,0
669,1,1,1,3
677,5,1,1,0
681,4,1,1,3
686,4,1,1,3
692,3,1,1,3
693,7,1,1,0
704,8,1,1,0
706,1,1,1,3
708,1,1,1,3
710,5,1,1,0
713,4,1,1,3
730,3,1,1,3
734,1,2,2,2
737,6,1,1,0
738,1,1,1,3
764,3,1,1,3
775,5,2,2,2
776,6,1,1,0
779,2,1,1,3
785,3,1,1,3
791,4,1,1,3
792,4,1,1,3
793,8,1,1,0
803,7,1,1,0
804,2,2,3,2
816,9,1,1,0
822,3,2,2,2
823,6,1,1,0
826,3,1,1,3
827,2,1,1,3
833,5,1,1,0
843,5,1,1,0
