user_id,recency,frequency,monetary,cluster
20,3,1,2752.0,3
28,3,1,6711.0,3
40,3,1,3721.0,3
41,6,1,1552.0,0
43,5,1,6123.0,2
45,3,1,5758.0,3
46,10,1,1097.0,0
49,1,1,1674.0,3
50,1,2,19168.0,1
61,1,1,8655.0,3
65,2,1,9151.0,3
72,3,2,10223.0,1
75,8,1,8699.0,2
80,9,1,7498.0,2
92,7,1,1527.0,0
101,1,1,8321.0,3
109,2,1,9352.0,3
116,7,1,5391.0,0
117,7,2,11334.0,1
123,2,1,9493.0,3
128,5,1,1540.0,0
129,4,1,8058.0,3
131,2,2,14970.0,1
143,5,2,7407.0,1
146,1,1,6812.0,3
147,1,1,1695.0,3
151,5,1,5995.0,2
157,8,1,4072.0,0
173,5,1,4129.0,0
178,3,2,6129.0,1
183,8,1,3308.0,0
189,7,1,5578.0,0
212,7,1,6460.0,2
225,4,1,7357.0,3
234,9,1,4707.0,0
239,8,1,6761.0,2
246,4,1,8937.0,2
249,5,1,7499.0,2
251,3,1,9525.0,3
252,7,1,1143.0,0
255,6,1,3145.0,0
281,2,1,9701.0,3
290,4,1,3861.0,3
293,1,1,6255.0,3
311,1,2,16177.0,1
312,6,1,11736.0,2
313,2,1,802.0,3
318,4,1,9891.0,2
322,2,3,22633.0,1
331,7,1,10540.0,2
339,7,1,4048.0,0
353,2,1,6818.0,3
358,5,1,4896.0,0
361,5,1,5493.0,2
362,3,1,3955.0,3
367,9,1,4751.0,0
378,1,1,2363.0,3
379,5,1,4920.0,0
385,3,1,5736.0,3
391,1,1,7496.0,3
395,2,1,507.0,3
401,2,1,4543.0,3
403,4,1,8089.0,3
404,8,1,6660.0,2
405,7,1,7161.0,2
410,7,1,4931.0,0
413,2,1,7170.0,3
429,6,1,8481.0,2
433,9,1,3370.0,0
435,8,2,13411.0,1
449,1,1,7090.0,3
450,6,1,6393.0,2
454,2,1,4724.0,3
457,1,1,3246.0,3
467,1,1,569.0,3
470,6,1,13432.0,2
476,2,1,6354.0,3
483,6,1,8121.0,2
484,5,1,3975.0,0
486,5,1,4260.0,0
517,1,1,9858.0,3
522,9,1,7301.0,2
524,6,1,4317.0,0
526,1,1,6985.0,3
527,2,1,5007.0,3
528,6,1,6022.0,2
532,3,1,6105.0,3
535,7,1,8335.0,2
536,2,1,4971.0,3
557,7,1,134.0,0
561,3,1,3474.0,3
563,3,1,2283.0,3
565,5,1,4348.0,0
567,3,1,94.0,3
571,4,2,11225.0,1
575,9,1,2575.0,0
579,4,1,102.0,3
580,5,2,7846.0,1
584,2,1,9943.0,3
585,6,1,6542.0,2
597,7,1,9296.0,2
599,4,3,21992.0,1
616,5,1,9934.0,2
621,4,1,5680.0,3
623,1,1,2757.0,3
624,1,2,17777.0,1
632,2,1,7976.0,3
638,7,2,7938.0,1
641,7,1,3209.0,0
648,7,1,4441.0,0
649,4,1,8827.0,2
659,9,1,6571.0,2
670,8,1,7963.0,2
671,1,1,8761.0,3
675,4,1,5814.0,3
677,5,1,3502.0,0
680,9,1,5650.0,0
686,1,3,20404.0,1
692,1,1,1764.0,3
693,7,1,2824.0,0
704,1,1,3292.0,3
712,2,1,11250.0,3
713,4,1,3257.0,3
715,2,1,4664.0,3
717,2,1,2096.0,3
718,4,1,2127.0,3
736,2,1,5487.0,3
737,2,1,212.0,3
745,7,2,15873.0,1
746,1,1,7746.0,3
754,5,3,14610.0,1
755,8,1,2529.0,0
760,8,1,4501.0,0
763,7,2,14673.0,1
766,4,1,752.0,3
767,3,1,4382.0,3
780,8,1,8955.0,2
785,3,2,14054.0,1
790,2,1,3955.0,3
791,1,2,5046.0,1
795,1,1,8436.0,3
803,6,1,6065.0,2
814,8,1,238.0,0
822,3,4,17241.0,1
823,5,1,7941.0,2
828,2,1,4874.0,3
836,6,1,7765.0,2
873,8,1,6803.0,2
879,7,1,581.0,0
882,6,1,2735.0,0
888,6,1,6429.0,2
895,9,1,2984.0,0
896,3,1,2933.0,3
913,3,1,7748.0,3
918,2,2,5895.0,1
922,3,1,7470.0,3
935,3,1,1881.0,3
940,5,1,2910.0,0
941,3,1,9699.0,3
946,3,2,7931.0,1
949,2,4,25410.0,1
954,1,1,4972.0,3
963,4,1,571.0,3
964,9,1,3318.0,0
967,3,1,5150.0,3
972,5,1,5114.0,0
973,3,2,12550.0,1
975,2,1,8896.0,3
993,7,1,12851.0,2
1009,2,1,9158.0,3
1014,7,1,1952.0,0
1021,6,1,6087.0,2
1033,4,1,1403.0,3
1044,5,1,4676.0,0
1056,4,1,7905.0,3
1057,3,1,9490.0,3
1058,3,1,3175.0,3
1070,2,1,738.0,3
1083,1,2,7688.0,1
1088,5,1,4275.0,0
1095,2,1,2055.0,3
1100,2,1,7051.0,3
1102,5,1,9042.0,2
1111,5,1,2071.0,0
1131,4,1,767.0,3
1132,1,1,3891.0,3
1149,6,1,5391.0,0
1156,2,2,17743.0,1
1160,4,2,7780.0,1
1183,8,1,7660.0,2
1188,1,3,17629.0,1
1190,3,2,17348.0,1
1192,3,1,5044.0,3
1194,3,1,664.0,3
1199,1,1,758.0,3
1205,3,1,702.0,3
1210,9,1,9791.0,2
1213,7,1,3157.0,0
1216,2,1,8561.0,3
1224,4,1,9918.0,2
1228,6,1,6750.0,2
1234,9,1,2192.0,0
1236,4,1,3564.0,3
1248,7,1,5022.0,0
1249,3,1,10072.0,3
1254,6,1,2526.0,0
1260,7,1,5905.0,2
1266,7,1,2907.0,0
1269,2,1,113.0,3
1289,1,1,2612.0,3
1290,1,1,3507.0,3
1297,3,1,1830.0,3
1300,9,1,960.0,0
1303,2,2,5619.0,1
1309,2,1,3225.0,3
1318,9,1,431.0,0
1335,9,1,8938.0,2
1343,8,1,823.0,0
1360,6,1,8739.0,2
1366,1,1,1530.0,3
1377,4,3,17119.0,1
1380,7,1,352.0,0
1387,4,1,1835.0,3
1388,5,1,3503.0,0
1415,2,1,9850.0,3
1421,4,1,3961.0,3
1429,5,1,6658.0,2
1432,2,1,7966.0,3
1440,1,1,9280.0,3
1443,5,1,6983.0,2
1453,7,1,452.0,0
1454,7,1,5891.0,2
1456,5,1,1076.0,0
1466,9,1,2657.0,0
1471,5,1,1496.0,0
1474,6,1,3022.0,0
1477,6,1,9037.0,2
1478,6,1,174.0,0
1482,5,1,2549.0,0
1486,7,2,3737.0,0
1488,6,1,1011.0,0
1497,1,2,5569.0,1
1503,2,1,609.0,3
1504,9,1,9143.0,2
1523,6,1,5270.0,0
1526,2,1,7105.0,3
1536,2,1,8709.0,3
1538,9,1,422.0,0
1543,9,1,2559.0,0
1546,5,1,1182.0,0
1555,9,1,6682.0,2
1561,4,1,6264.0,3
1567,7,1,4398.0,0
1585,1,2,6460.0,1
1597,8,1,6237.0,2
1612,9,1,9178.0,2
1622,1,1,7172.0,3
1631,4,1,4970.0,3
1633,4,1,2918.0,3
1634,3,1,8684.0,3
1642,7,1,5325.0,0
1645,3,1,5316.0,3
1646,4,1,363.0,3
1663,3,1,690.0,3
1665,3,1,1591.0,3
1672,4,1,5259.0,3
1678,2,1,593.0,3
1681,3,4,17413.0,1
1685,8,1,2171.0,0
1686,5,1,8627.0,2
1691,6,1,8423.0,2
1709,4,1,4435.0,3
1710,6,1,575.0,0
1721,2,1,1348.0,3
1735,7,1,6870.0,2
1746,4,1,7038.0,3
1752,9,1,1770.0,0
1770,6,1,1271.0,0
1775,4,1,4415.0,3
1778,8,1,9185.0,2
1787,2,2,11851.0,1
1811,1,1,3935.0,3
1815,4,2,11510.0,1
1822,2,2,12422.0,1
1827,7,1,2184.0,0
1833,6,2,6347.0,1
1838,2,1,1908.0,3
1850,1,1,255.0,3
1853,1,1,7465.0,3
1875,3,1,2207.0,3
1897,4,1,3079.0,3
1898,3,1,9711.0,3
1905,3,1,3428.0,3
1909,5,1,9243.0,2
1911,2,1,735.0,3
1921,3,1,3166.0,3
1924,2,1,9529.0,3
1926,8,1,3563.0,0
1941,4,1,3266.0,3
1977,3,1,7160.0,3
1978,2,2,13159.0,1
1986,2,2,15886.0,1
1988,9,1,17950.0,2
1992,2,1,3211.0,3
1998,4,1,1953.0,3
2004,7,1,2637.0,0
2005,3,1,1284.0,3
2021,5,1,1707.0,0
2044,6,1,2660.0,0
2050,5,1,1359.0,0
2054,1,1,7889.0,3
2060,4,1,664.0,3
2062,6,2,13913.0,1
2069,6,1,11603.0,2
2072,6,1,1116.0,0
2094,3,1,9464.0,3
2097,3,2,5757.0,1
2099,1,1,2590.0,3
2104,2,1,3505.0,3
2107,1,2,10182.0,1
2108,3,1,7247.0,3
2109,1,1,455.0,3
2110,2,1,2393.0,3
2112,5,1,430.0,0
2116,6,1,209.0,0
2117,5,1,6628.0,2
2120,5,1,9871.0,2
2123,2,1,7497.0,3
2125,2,1,7857.0,3
2127,2,1,9190.0,3
2134,2,1,9393.0,3
2137,2,1,1867.0,3
2142,9,1,1714.0,0
2144,1,1,5501.0,3
2146,8,1,4953.0,0
2149,6,1,4158.0,0
2152,6,2,13763.0,1
2153,8,1,5237.0,0
2154,8,1,4359.0,0
2178,7,1,3449.0,0
2179,4,1,8379.0,3
2181,1,1,8475.0,3
2185,9,1,7997.0,2
2186,1,1,5954.0,3
2187,6,1,6655.0,2
2196,1,3,23223.0,1
2225,1,1,11630.0,3
2228,4,1,7069.0,3
2230,8,2,17127.0,1
2233,8,1,5568.0,0
2242,2,2,10406.0,1
2248,7,1,5659.0,2
2256,1,1,6859.0,3
2260,3,1,3338.0,3
2262,6,1,3553.0,0
2276,3,2,6536.0,1
2277,6,1,8389.0,2
2286,1,1,4620.0,3
2299,7,1,1327.0,0
2305,2,1,637.0,3
2306,6,1,796.0,0
2309,7,1,8723.0,2
2317,2,1,180.0,3
2326,3,1,6050.0,3
2328,9,1,4167.0,0
2335,1,1,279.0,3
2339,2,1,324.0,3
2343,5,1,2784.0,0
2346,7,1,8839.0,2
2353,5,1,6670.0,2
2364,9,1,2092.0,0
2372,1,1,5072.0,3
2379,7,1,1781.0,0
2381,7,1,7724.0,2
2384,7,1,5245.0,0
2405,8,1,9534.0,2
2420,4,1,7114.0,3
2423,2,1,1168.0,3
2430,5,1,7341.0,2
2434,7,1,1645.0,0
2436,2,1,525.0,3
2438,9,1,5755.0,0
2440,5,1,6227.0,2
2441,4,1,1783.0,3
2446,9,1,8565.0,2
2460,5,1,9595.0,2
2465,4,1,2554.0,3
2467,10,1,9373.0,2
2478,4,1,3027.0,3
2490,9,1,1545.0,0
2491,3,1,9032.0,3
2496,5,1,737.0,0
2499,5,1,7142.0,2
2508,4,1,4384.0,3
2515,1,1,8584.0,3
2517,1,1,5731.0,3
2520,3,2,13669.0,1
2534,4,1,7186.0,3
2535,5,1,7921.0,2
2536,1,1,6504.0,3
2546,9,1,595.0,0
2547,3,1,6330.0,3
2548,1,1,634.0,3
2557,8,1,12998.0,2
2566,5,1,2155.0,0
2569,1,2,9017.0,1
2570,9,1,3288.0,0
2581,5,1,1783.0,0
2601,7,1,7860.0,2
2611,9,1,3043.0,0
2612,3,1,5235.0,3
2615,4,1,8003.0,3
2624,5,1,7583.0,2
2634,3,1,3585.0,3
2654,9,1,6558.0,2
2666,2,1,6370.0,3
2673,5,1,1942.0,0
2704,4,1,96.0,3
2708,3,1,9785.0,3
2717,1,1,4922.0,3
2725,8,1,10613.0,2
2730,1,1,959.0,3
2733,9,1,4673.0,0
2749,8,1,4941.0,0
2750,1,1,8097.0,3
2752,3,1,6509.0,3
2757,2,1,7205.0,3
2758,6,1,8405.0,2
2770,9,1,5677.0,0
2771,7,1,5162.0,0
2784,7,1,3161.0,0
2789,1,1,6008.0,3
2798,4,1,9924.0,2
2801,9,1,1960.0,0
2816,10,1,5611.0,0
2821,6,1,6688.0,2
2824,4,1,6362.0,3
2828,7,1,373.0,0
2831,1,1,8489.0,3
2840,1,1,10009.0,3
2845,9,1,8575.0,2
2849,6,1,8477.0,2
2854,5,1,7183.0,2
2866,8,1,3489.0,0
2877,7,1,8531.0,2
2884,5,1,707.0,0
2888,1,1,9557.0,3
2891,1,3,13824.0,1
2892,5,1,5285.0,2
2913,2,1,4463.0,3
2914,1,1,209.0,3
2922,3,1,3331.0,3
2927,8,1,5277.0,0
2940,5,1,8217.0,2
2942,2,1,5876.0,3
2949,2,1,962.0,3
2956,6,1,9831.0,2
2958,10,1,9637.0,2
2970,10,1,1943.0,0
2976,2,1,4936.0,3
2977,4,1,1643.0,3
2986,1,1,5080.0,3
2992,6,1,2868.0,0
3002,8,1,1594.0,0
3005,4,1,1262.0,3
3010,4,1,800.0,3
3012,8,1,8632.0,2
3016,5,1,2732.0,0
3022,2,1,6029.0,3
3025,1,1,9273.0,3
3026,8,1,149.0,0
3034,7,1,9343.0,2
3048,3,1,3371.0,3
3052,8,1,1704.0,0
3053,9,1,5005.0,0
3054,6,1,7717.0,2
3060,4,2,17766.0,1
3075,7,1,3254.0,0
3090,5,1,7387.0,2
